id,title,content,slug
1,About,"Ordinarium is a liturgy planning workspace that incorporates the structure and rubrics of the ACNA 2019 Book of Common Prayer, enabling clergy and liturgists to assemble, order, and manage liturgical orders of service. It supports the selection of propers, readings, prayers, and ceremonial elements; their arrangement into a coherent liturgy; and export or sharing for use in planning, presentation, or printed materials.

*The Rev. Ryan Willers*

P.S. You can also find collects and other prayers from the *Book of Common Prayer*, the Anglican tradition, and the broader Church at <a href=""https://occasionalprayers.com"" target=""_blank"">Occasional Prayers</a>.",about
2,Welcome to Ordinarium,"Ordinarium is a liturgy planning workspace supporting the assembly, ordering, and management of liturgical orders of service. We currently support the eucharistic services from the <a href=""https://anglicanchurch.net/"" target=""_blank"">Anglican Church in North America</a> *Book of Common Prayer* (2019).

<a href=""/services"" class=""button"">Manage services</a>",home
